"sen.slope","sen.slope.pct","p.value","S","varS","miss","tau","nie_malla_modi_id"
2.667,3.15,0.16919,26,330.67,0,0.286,"1620737"
3.5,4.49,0.16919,26,330.67,0,0.286,"1620738"
4,5.15,0.40943,16,330.67,0,0.176,"1620739"
3.2,3.74,0.18578,25,329,0,0.275,"1620740"
0.667,0.8,0.91255,3,331.67,0,0.033,"1623115"
2.667,3.74,0.18399,25,326.33,0,0.275,"1623116"
1.333,2.1,0.26578,21,323,0,0.231,"1623117"
1.6,2.91,0.08118,32,316,0,0.352,"1623118"
2,3.18,0.24431,22,325.33,0,0.242,"1623119"
0,0,1,1,320.33,0,0.011,"1623120"
0.667,1.08,0.6582,9,327,0,0.099,"1623121"
0,0,0.73901,7,324.33,0,0.077,"1623122"
-1,-1.91,0.4061,-16,326,0,-0.176,"1623123"
1,1.74,0.34593,18,325.33,0,0.198,"1623124"
1,1.68,0.31756,19,324.33,0,0.209,"1623125"
0,0,0.86668,-4,319.33,0,-0.044,"1623126"
4.714,6.65,0.01129,47,329.67,0,0.516,"1623127"
3.077,3.6,0.07679,33,327,0,0.363,"1623128"
2.667,2.92,0.20593,24,330.67,0,0.264,"1623129"
2.667,2.85,0.29609,20,330.67,0,0.22,"1623130"
2.667,3.14,0.18444,25,327,0,0.275,"1623131"
2,2.63,0.06844,34,328,0,0.374,"1623132"
2.143,2.92,0.05329,36,328,0,0.396,"1623133"
2.667,3.69,0.01097,47,327,0,0.516,"1623134"
1.778,2.49,0.31756,19,324.33,0,0.209,"1623135"
2,2.86,0.16573,26,325.33,0,0.286,"1623136"
2.909,3.47,0.13601,28,328,0,0.308,"1623137"
3.2,3.96,0.06956,34,330.67,0,0.374,"1623138"
1.778,1.77,0.6595,9,329.67,0,0.099,"1623139"
4,4.72,0.078,33,329.67,0,0.363,"1623140"
4,4.71,0.15174,27,329,0,0.297,"1623141"
3.625,3.89,0.18756,25,331.67,0,0.275,"1623142"
1.143,2.08,0.37332,17,323,0,0.187,"1625520"
1,1.8,0.37626,17,327,0,0.187,"1625521"
0,0,0.91229,3,329.67,0,0.033,"1625522"
0,0,0.82494,-5,327,0,-0.055,"1625523"
