"nie_malla_modi_id","sen_slope_tempm08","sen_slope_per_tempm08","p_value_tempm08","tau_tempm08"
1673603,0.051,0.27,0.15463,0.297
1673604,0.058,0.29,0.15463,0.297
1673605,0.058,0.29,0.15463,0.297
1673606,0.054,0.27,0.18889,0.275
1673607,0.052,0.27,0.2073,0.264
1673608,0.05,0.26,0.18889,0.275
1673609,0.044,0.24,0.18889,0.275
1673610,0.045,0.25,0.2073,0.264
1673611,0.046,0.25,0.24958,0.242
1673612,0.052,0.28,0.2073,0.264
1673613,0.052,0.27,0.12531,0.319
1673614,0.054,0.28,0.18889,0.275
1673615,0.045,0.24,0.27356,0.231
1673616,0.045,0.25,0.38107,0.187
1673617,0.044,0.25,0.44342,0.165
1673618,0.042,0.24,0.54644,0.132
1673619,0.043,0.25,0.58407,0.121
1673620,0.038,0.22,0.66142,0.099
1673621,0.048,0.26,0.66142,0.099
1673622,0.048,0.27,0.66142,0.099
1673623,0.048,0.27,0.74256,0.077
1673624,0.037,0.21,0.82667,0.055
1673625,0.03,0.17,0.82667,0.055
1673626,0.037,0.2,0.78398,0.066
1673627,0.033,0.18,0.82667,0.055
1673628,0.033,0.19,0.78398,0.066
1673629,0.033,0.18,0.74256,0.077
1673630,0.037,0.19,0.51122,0.143
1673631,0.037,0.19,0.54644,0.132
1673632,0.037,0.19,0.51122,0.143
1673633,0.037,0.18,0.44342,0.165
1673634,0.032,0.16,0.38107,0.187
1673635,0.028,0.14,0.37964,0.187
1673636,0.004,0.02,0.86935,0.044
1673637,0.014,0.07,0.78398,0.066
1673638,0.012,0.06,0.82667,0.055
1673639,0.006,0.03,0.91281,0.033
1673640,0.013,0.06,0.91281,0.033
1673641,0.012,0.06,0.82667,0.055
1673642,0.012,0.06,0.91281,0.033
1673643,0.008,0.04,0.82667,0.055
1673644,0.022,0.1,0.82667,0.055
1673645,0.027,0.12,0.82667,0.055
1673646,0.03,0.13,0.74256,0.077
1673647,0.024,0.11,0.74256,0.077
1673648,0.022,0.1,0.74256,0.077
1673649,0.022,0.1,0.74256,0.077
1673650,0.024,0.1,0.66142,0.099
1673651,0.026,0.11,0.66142,0.099
1673652,0.03,0.13,0.66142,0.099
1673653,0.028,0.12,0.66142,0.099
1673654,0.034,0.15,0.66142,0.099
1673655,0.027,0.12,0.74256,0.077
1673656,0.022,0.1,0.82667,0.055
1673657,0.027,0.13,0.82667,0.055
1673658,0.022,0.1,0.82667,0.055
1673659,0.027,0.12,0.82667,0.055
