"nie_malla_modi_id","basin_code","basin_name"
1695206,3,"Adra"
1695211,3,"Adra"
1695213,3,"Adra"
1695216,3,"Adra"
1695218,3,"Adra"
1695221,3,"Adra"
1695224,3,"Adra"
1695226,3,"Adra"
1695229,3,"Adra"
1695231,3,"Adra"
1695234,3,"Adra"
1695236,3,"Adra"
1695239,3,"Adra"
1695241,3,"Adra"
1695244,3,"Adra"
1695246,3,"Adra"
1695249,3,"Adra"
1695252,4,"Andarax"
1695254,4,"Andarax"
1695257,4,"Andarax"
1695259,4,"Andarax"
1695262,4,"Andarax"
1695264,4,"Andarax"
1695267,4,"Andarax"
1695269,4,"Andarax"
1695272,4,"Andarax"
1695275,4,"Andarax"
1695277,4,"Andarax"
1695280,4,"Andarax"
1695282,4,"Andarax"
1695285,4,"Andarax"
1695287,4,"Andarax"
1695290,4,"Andarax"
1695292,4,"Andarax"
1695295,4,"Andarax"
1695297,4,"Andarax"
1695300,4,"Andarax"
1695303,4,"Andarax"
1697531,1,"Genil"
1697533,1,"Genil"
1697536,1,"Genil"
1697538,1,"Genil"
1697541,1,"Genil"
1697543,1,"Genil"
1697546,1,"Genil"
1697548,1,"Genil"
1697551,1,"Genil"
1697553,1,"Genil"
1697556,1,"Genil"
1697559,1,"Genil"
1697564,1,"Genil"
1697566,1,"Genil"
1697569,1,"Genil"
1697571,1,"Genil"
1697574,1,"Genil"
1697577,1,"Genil"
1697579,1,"Genil"
1697582,2,"Guadalfeo"
1697584,2,"Guadalfeo"
1697587,2,"Guadalfeo"
1697589,2,"Guadalfeo"
