"nie_malla_modi_id","sen_slope_pnwi","sen_slope_per_pnwi","p_value_pnwi","tau_pnwi"
1707232,2.771,6.09,0.10052,0.341
1707233,3.054,5.93,0.15463,0.297
1707234,3.687,5.5,0.15463,0.297
1707235,4.932,6.14,0.15463,0.297
1707236,5.013,5.8,0.15463,0.297
1707237,4.255,5.8,0.12531,0.319
1707238,2.28,5.07,0.27356,0.231
1707239,1.55,4.55,0.22844,0.253
1707240,2.19,4.6,0.32442,0.209
1707241,2.503,4.4,0.15463,0.297
1707242,2.523,3.69,0.18889,0.275
1707243,2.303,5.36,0.18889,0.275
1707247,2.489,4.34,0.10052,0.341
1707248,3.036,4.22,0.32442,0.209
1707249,3.232,3.4,0.38107,0.187
1707250,4.207,3.87,0.38107,0.187
1707251,3.801,3.61,0.38107,0.187
1707252,3.305,3.45,0.51122,0.143
1707253,3.419,3.99,0.44342,0.165
1707254,1.796,2.79,0.22844,0.253
1707255,1.681,4.39,0.18889,0.275
1707256,0.858,3.37,0.44342,0.165
1707257,1.602,3.4,0.22844,0.253
1707258,1.472,2.32,0.32442,0.209
1707259,2.33,2.88,0.38107,0.187
1707260,2.958,3.16,0.38107,0.187
1707261,2.714,3.18,0.44342,0.165
1707262,2.029,2.74,0.32442,0.209
1707263,2.219,3.79,0.15463,0.297
1707264,1.703,4.19,0.12531,0.319
1707265,1.835,4.81,0.15463,0.297
1707266,1.893,5.24,0.18889,0.275
1707267,1.147,4.13,0.22844,0.253
1707268,0.737,3.07,0.2073,0.264
1707269,1.239,3.68,0.27356,0.231
1707270,2.021,4.05,0.15463,0.297
1707271,2.23,3.47,0.12531,0.319
1707272,2.22,3.62,0.12531,0.319
1707273,1.788,2.68,0.15463,0.297
1707274,1.502,2.12,0.22844,0.253
1707275,2.456,2.99,0.38107,0.187
1707276,2.583,2.95,0.44342,0.165
1707277,2.547,2.9,0.44342,0.165
1707278,2.173,2.88,0.32442,0.209
1707279,2.521,2.89,0.58407,0.121
1707280,2.461,2.92,0.58407,0.121
1707281,2.58,3.82,0.22844,0.253
1707282,2.076,2.89,0.38107,0.187
1707283,1.956,2.78,0.35131,0.198
1707284,1.83,3.15,0.32442,0.209
1707285,1.328,2.68,0.32442,0.209
1707286,1.343,3.55,0.18889,0.275
1707287,2.426,5.85,0.18889,0.275
1707288,1.797,5.49,0.10052,0.341
1707289,1.114,5.6,0.12531,0.319
1707290,0.357,3.54,0.12038,0.319
1707291,0.231,2.69,0.1831,0.275
1707292,0.061,2.35,0.26131,0.231
1707293,0.043,3.25,0.17767,0.275
1707294,0.189,6.71,0.07589,0.363
1707295,0.546,4.79,0.09609,0.341
1707296,0.361,4.78,0.07589,0.363
1707297,0.046,2.32,0.31203,0.209
1707298,0,0,0.62797,-0.088
1707299,0.059,2.47,0.26131,0.231
1707300,0.295,7.18,0.07589,0.363
1707301,0.32,6.98,0.07589,0.363
1707302,0.288,8.71,0.09609,0.341
1707303,0.243,6.91,0.12038,0.319
1707304,0.018,0.68,0.36884,0.187
1707305,0.03,3.86,0.15251,0.286
1707306,0.017,0.57,0.43168,0.165
1707307,0.033,0.97,0.36884,0.187
1707308,0.004,0.23,0.33061,0.198
1707309,0,0,0.31759,0.198
1707310,0,0,0.58989,0.088
1707311,0,0,0.58989,0.088
1707312,0,0,0.48831,0.11
1707313,0,0,0.48831,0.11
1707314,0,0,0.58989,0.088
1707315,0,0,0.58989,0.088
1707316,0,0,0.27531,0.143
1707317,0,0,0.6198,0.055
1709527,0.075,1.19,0.27212,0.231
1709528,0.243,1.81,0.22844,0.253
1709529,0.995,5.42,0.10052,0.341
1709530,0.963,5.26,0.10052,0.341
1709531,1.223,5.82,0.12531,0.319
1709532,1.394,6.48,0.10052,0.341
1709533,2.121,7.8,0.0627,0.385
1709534,2.883,7.65,0.04874,0.407
1709535,2.615,7.8,0.0798,0.363
1709536,2.361,7.33,0.0798,0.363
1709537,1.293,5.61,0.22844,0.253
1709538,2.197,6.57,0.12531,0.319
1709539,1.79,6.41,0.15463,0.297
1709540,1.633,6.86,0.18889,0.275
1709541,1.747,6.19,0.12531,0.319
1709542,1.383,6.68,0.15463,0.297
1709543,0.153,1.13,0.32442,0.209
1709544,1.426,6.2,0.18889,0.275
1709545,1.891,4.91,0.12531,0.319
1709546,1.335,5.43,0.18889,0.275
1709547,1.751,4.43,0.15463,0.297
1709548,1.768,4.69,0.12531,0.319
1709549,1.793,5.92,0.15463,0.297
1709550,1.833,5.46,0.12531,0.319
1709551,2.295,6.07,0.15463,0.297
1709552,2.105,5.26,0.15463,0.297
1709553,3.766,6.19,0.12531,0.319
1709554,3.85,4.84,0.15463,0.297
1709555,3.647,4.13,0.22844,0.253
1709556,3.019,3.31,0.27356,0.231
1709557,2.797,3.48,0.22844,0.253
1709558,3.415,3.19,0.51122,0.143
1709559,5.179,4.07,0.27356,0.231
1709560,5.304,4.16,0.27356,0.231
1709561,5.641,3.42,0.38107,0.187
1709562,7.461,3.45,0.38107,0.187
1709563,12.422,4.78,0.44342,0.165
1709564,10.012,3.44,0.44342,0.165
1709565,10.666,3.71,0.44342,0.165
1709566,10.783,3.62,0.44342,0.165
1709567,10.525,3.21,0.66142,0.099
1709568,13.175,3.61,0.38107,0.187
1709569,12.842,3.35,0.44342,0.165
1709570,13.14,3.24,0.44342,0.165
1709571,13.789,3.43,0.44342,0.165
1709572,13.777,3.35,0.38107,0.187
1709573,14.09,3.56,0.38107,0.187
1709574,14.27,3.55,0.38107,0.187
1709575,14.616,3.9,0.32442,0.209
1709576,14.693,3.85,0.27356,0.231
1709577,14.46,3.7,0.32442,0.209
1709578,14.618,4.02,0.27356,0.231
1709579,13.643,4.31,0.32442,0.209
1709580,13.778,4.39,0.27356,0.231
1709581,12.164,3.84,0.38107,0.187
1709582,12.747,4.08,0.32442,0.209
1709583,13.872,4.17,0.27356,0.231
1709584,13.135,4.15,0.27356,0.231
1709585,12.752,4.3,0.38107,0.187
1709586,13.125,4.14,0.27356,0.231
1709587,14.386,4.11,0.32442,0.209
1709588,15.49,4.17,0.32442,0.209
1709589,15.074,4.13,0.32442,0.209
1709590,14.686,4.09,0.32442,0.209
1709591,13.856,4.08,0.32442,0.209
1709592,13.97,4.72,0.27356,0.231
1709593,12.892,4.77,0.22844,0.253
1709594,10,4.29,0.18889,0.275
1709595,8.555,4.34,0.15463,0.297
1709596,7.753,4.89,0.44342,0.165
1709597,5.167,4.02,0.44342,0.165
1709598,4.435,4.13,0.22844,0.253
1709599,3.936,3.41,0.27356,0.231
1709600,3.252,2.96,0.27356,0.231
1709601,3.264,3.49,0.27356,0.231
1709602,3.727,2.86,0.32442,0.209
1709603,5.291,2.97,0.38107,0.187
1709604,8.054,3.6,0.44342,0.165
1709605,8.972,3.82,0.32442,0.209
1709606,5.719,3.03,0.32442,0.209
1709607,5.81,3.21,0.32442,0.209
1709608,4.492,2.86,0.27356,0.231
1709609,3.816,2.68,0.27356,0.231
1709610,4.517,2.92,0.32442,0.209
