"nie_malla_modi_id","sen_slope_pnau","sen_slope_per_pnau","p_value_pnau","tau_pnau"
1707202,0.263,0.2,1,0.011
1707203,1.344,0.82,0.82667,0.055
1707204,0.464,0.32,0.91281,0.033
1707205,0.566,0.44,1,0.011
1707206,0.7,0.7,0.91281,0.033
1707207,0.312,0.36,0.91281,0.033
1707208,0.461,0.49,0.91281,0.033
1707209,-0.83,-1.39,0.58407,-0.121
1707210,0.377,0.93,1,0.011
1707211,-1.526,-2.53,0.66142,-0.099
1707212,-0.7,-0.95,0.74256,-0.077
1707213,-0.858,-0.92,0.91281,-0.033
1707214,-0.022,-0.02,1,-0.011
1707215,-0.605,-0.7,0.91281,-0.033
1707216,-0.975,-1.15,0.91281,-0.033
1707217,-1.584,-1.96,0.91281,-0.033
1707218,-1.435,-2.32,0.74256,-0.077
1707219,-0.415,-0.81,0.66142,-0.099
1707220,-0.774,-2.19,0.58407,-0.121
1707221,-0.583,-1.74,0.58407,-0.121
1707222,-1.3,-2.13,0.74256,-0.077
1707223,-1.639,-2.82,0.74256,-0.077
1707224,-1.469,-3.69,0.44342,-0.165
1707225,-0.535,-2.11,0.74256,-0.077
1707226,-0.54,-2.24,0.82667,-0.055
1707227,-0.649,-2.19,0.58407,-0.121
1707228,-0.585,-2.82,0.66142,-0.099
1707229,-0.566,-5.01,0.38107,-0.187
1707230,-0.07,-1.11,0.11184,-0.33
1707231,-0.157,-2.11,0.18889,-0.275
1707232,-0.708,-5.32,0.44342,-0.165
1707233,-0.293,-1.74,0.74256,-0.077
1707234,-0.715,-3.06,0.58407,-0.121
1707235,-1.082,-3.49,0.51122,-0.143
1707236,-1.115,-3.25,0.38107,-0.187
1707237,-0.45,-1.83,0.74256,-0.077
1707238,-0.597,-4.9,0.22844,-0.253
1707239,-0.568,-5.62,0.15463,-0.297
1707240,-0.677,-5.17,0.12531,-0.319
1707241,-1.233,-7.62,0.0627,-0.385
1707242,-1.36,-6.82,0.22844,-0.253
1707243,-0.572,-4.14,0.18889,-0.275
1707247,-0.497,-2.99,0.38107,-0.187
1707248,-1.124,-4.92,0.15463,-0.297
1707249,-2.35,-7.07,0.0627,-0.385
1707250,-2.998,-7.4,0.12531,-0.319
1707251,-2.84,-7.59,0.10052,-0.341
1707252,-2.007,-6.13,0.0627,-0.385
1707253,-1.922,-7.02,0.12531,-0.319
1707254,-0.496,-2.75,0.54644,-0.132
1707255,-0.228,-2.28,0.69999,-0.088
1707256,0,0,0.91166,-0.033
1707257,-0.328,-2.84,0.476,-0.154
1707258,-0.487,-2.83,0.58407,-0.121
1707259,-0.577,-2.69,0.51122,-0.143
1707260,-1.211,-4.17,0.27356,-0.231
1707261,-0.46,-1.98,0.58407,-0.121
1707262,-0.237,-1.26,0.82667,-0.055
1707263,-0.187,-1.36,0.86935,-0.044
1707264,-0.047,-0.47,0.95628,-0.022
1707265,0.001,0.01,0.86883,0.044
1707266,0,0,1,0.011
1707267,0,0,1,0.011
1707268,0,0,1,0.011
1707269,0,0,1,0.011
1707270,-0.208,-1.8,0.86935,-0.044
1707271,-0.204,-1.36,0.78398,-0.066
1707272,-0.297,-2,0.70113,-0.088
1707273,-0.6,-3.6,0.51122,-0.143
1707274,-0.515,-2.81,0.32442,-0.209
1707275,-0.906,-3.95,0.27356,-0.231
1707276,-1.228,-4.76,0.15463,-0.297
1707277,-1.063,-4.07,0.12531,-0.319
1707278,-0.715,-3.23,0.22844,-0.253
1707279,-1.011,-3.84,0.12531,-0.319
1707280,-0.941,-3.66,0.22844,-0.253
