"nie_malla_modi_id","sen_slope_presu","sen_slope_per_presu","p_value_presu","tau_presu"
1637616,-0.25,-0.67,0.82667,-0.055
1637617,-0.247,-0.67,0.91281,-0.033
1637618,-0.253,-0.69,1,-0.011
1639929,1.76,3.79,0.66142,0.099
1639930,1.7,3.57,0.66142,0.099
1639933,1.58,3.12,0.66142,0.099
1639934,0.188,0.4,1,0.011
1639935,0.18,0.37,1,0.011
1639936,0.169,0.35,1,0.011
1639937,0.605,1.22,0.74256,0.077
1639938,1.173,2.31,0.74256,0.077
1639939,1.245,2.52,0.66142,0.099
1639940,1.38,2.87,0.58407,0.121
1639941,1.85,3.89,0.58407,0.121
1639942,2.12,4.45,0.58407,0.121
1639943,2.303,4.78,0.58407,0.121
1639944,2.297,4.65,0.58407,0.121
1639945,1.707,3.4,0.32442,0.209
1639946,1.86,3.88,0.38107,0.187
1639947,1.82,3.82,0.38107,0.187
1639948,1.747,3.64,0.38107,0.187
1639949,1.927,4.12,0.44342,0.165
1639950,2.182,4.81,0.44342,0.165
1639951,2.45,5.61,0.44342,0.165
1639952,2.72,6.47,0.38107,0.187
1639953,2.763,6.79,0.38107,0.187
1639954,2.355,6.03,0.38107,0.187
1639955,2.203,5.7,0.38107,0.187
1639956,1.835,4.99,0.38107,0.187
1639957,1.822,5.04,0.38107,0.187
1639958,1.897,5,0.38107,0.187
1639959,2.033,5.24,0.44342,0.165
1639960,2.087,5.31,0.44342,0.165
1639961,1.667,4.47,0.44342,0.165
1639964,1.803,4.92,0.44342,0.165
1639966,1.825,4.92,0.44342,0.165
1639967,1.408,3.74,0.44342,0.165
1639968,1.417,3.74,0.38107,0.187
1639969,1.643,4.21,0.44342,0.165
1639972,1.23,3.19,0.51122,0.143
1639973,1.227,3.18,0.51122,0.143
1639978,1.173,2.98,0.44342,0.165
1639979,1.175,2.89,0.44342,0.165
1639980,1.085,2.61,0.38107,0.187
1639981,1.105,2.67,0.38107,0.187
1639982,1.21,3.11,0.44342,0.165
1639985,1.077,2.7,0.51122,0.143
1639986,1.525,3.65,0.44342,0.165
1639987,1.63,3.89,0.58407,0.121
1639988,1.453,3.7,0.44342,0.165
1639991,1.175,3.1,0.51122,0.143
1639992,1.345,3.51,0.44342,0.165
1639993,0.417,1.04,0.82667,0.055
1639994,0.349,0.87,0.74256,0.077
1639995,0.495,1.18,0.66142,0.099
1640007,0.419,1.03,0.82667,0.055
1640008,0.297,0.75,1,0.011
1640009,0.198,0.51,0.91281,0.033
1640010,0.09,0.23,0.82667,0.055
1640011,0.165,0.43,0.91281,0.033
1640012,0.105,0.26,0.91281,0.033
1640013,0.025,0.06,1,0.011
1640014,-0.08,-0.21,1,-0.011
1640015,0.29,0.73,0.91281,0.033
1640016,-0.091,-0.23,1,-0.011
1640017,-0.061,-0.16,1,-0.011
1640018,-0.08,-0.21,0.91281,-0.033
1640019,-0.313,-0.84,0.91281,-0.033
1640020,-0.312,-0.84,1,-0.011
1640021,-0.297,-0.81,1,-0.011
1640022,-0.237,-0.65,1,-0.011
1640023,-0.198,-0.55,1,-0.011
1642331,1.705,3.53,0.66142,0.099
1642332,1.625,3.22,0.66142,0.099
1642333,1.645,3.31,0.66142,0.099
1642334,1.67,3.45,0.66142,0.099
1642335,1.7,3.56,0.66142,0.099
1642336,0.179,0.4,1,0.011
1642337,0.17,0.38,1,0.011
1642338,0.82,1.77,0.66142,0.099
1642339,0.76,1.59,0.66142,0.099
1642340,1.313,2.61,0.74256,0.077
1642341,1.47,2.88,0.74256,0.077
1642342,1.491,2.97,0.74256,0.077
1642343,1.849,3.7,0.66142,0.099
1642344,2.146,4.38,0.58407,0.121
1642345,2.263,4.51,0.58407,0.121
1642346,2.163,4.24,0.58407,0.121
1642347,1.663,3.22,0.32442,0.209
1642348,1.622,3.21,0.32442,0.209
1642349,1.82,3.71,0.38107,0.187
1642350,1.828,3.84,0.38107,0.187
1642351,1.943,4.23,0.38107,0.187
1642352,2.242,5.09,0.38107,0.187
1642353,2.535,6,0.38107,0.187
1642354,2.78,6.8,0.38107,0.187
1642355,2.78,6.89,0.38107,0.187
1642356,2.507,6.36,0.38107,0.187
1642357,2.307,5.95,0.38107,0.187
1642358,2.138,5.59,0.38107,0.187
1642359,1.96,5.2,0.38107,0.187
1642360,2.255,5.72,0.38107,0.187
1642361,2.433,6,0.44342,0.165
1642362,2.057,5.28,0.44342,0.165
1642363,1.75,4.65,0.44342,0.165
1642364,1.746,4.65,0.44342,0.165
1642365,1.865,4.98,0.44342,0.165
1642366,1.978,5.19,0.44342,0.165
1642367,1.93,5.18,0.44342,0.165
1642368,1.989,5.22,0.44342,0.165
1642369,2.061,5.22,0.44342,0.165
1642370,1.939,4.89,0.44342,0.165
1642371,1.839,4.59,0.44342,0.165
1642372,1.921,4.6,0.51122,0.143
1642374,1.145,2.82,0.44342,0.165
1642375,1.217,3.14,0.51122,0.143
1642377,1.255,3.29,0.51122,0.143
1642381,1.154,2.88,0.44342,0.165
1642382,1.07,2.57,0.38107,0.187
1642383,1.08,2.6,0.38107,0.187
1642384,1.166,2.88,0.38107,0.187
1642385,1.13,2.89,0.51122,0.143
1642387,1.058,2.67,0.51122,0.143
1642388,1.51,3.64,0.51122,0.143
1642389,1.602,3.85,0.58407,0.121
1642390,1.399,3.44,0.58407,0.121
1642392,1.365,3.47,0.51122,0.143
1642393,1.51,3.75,0.51122,0.143
1642394,0.637,1.53,0.58407,0.121
1642395,0.387,0.96,0.82667,0.055
1642396,0.395,0.95,0.66142,0.099
1642406,0.375,0.85,0.91281,0.033
1642407,0.283,0.67,0.91281,0.033
1642408,0.438,1.04,0.82667,0.055
1642409,0.413,0.98,0.74256,0.077
1642410,0.325,0.81,0.91281,0.033
1642411,0.157,0.4,0.91281,0.033
1642412,0.175,0.45,0.82667,0.055
1642413,0.17,0.42,0.74256,0.077
1642414,0.117,0.29,0.82667,0.055
1642415,0.23,0.57,0.91281,0.033
1642416,0.297,0.74,0.91281,0.033
1642417,0.253,0.62,0.91281,0.033
1642418,-0.102,-0.26,1,-0.011
1642419,-0.082,-0.21,1,-0.011
1642420,-0.046,-0.12,1,-0.011
1642421,-0.143,-0.38,0.91281,-0.033
1642422,-0.29,-0.77,1,-0.011
1642423,-0.332,-0.9,1,-0.011
