"nie_malla_modi_id","sen_slope_prewi","sen_slope_per_prewi","p_value_prewi","tau_prewi"
1635211,0.997,0.93,0.51122,0.143
1635212,0.968,0.91,0.66142,0.099
1635213,0.925,0.9,0.74256,0.077
1637531,8.537,2.93,0.58407,0.121
1637532,8.992,3.33,0.58407,0.121
1637533,8.75,3.18,0.74256,0.077
1637534,8.232,3.02,0.74256,0.077
1637535,7.788,2.86,0.66142,0.099
1637536,7.31,2.68,0.66142,0.099
1637537,5.23,2.14,0.58407,0.121
1637538,4.362,1.93,0.58407,0.121
1637539,3.848,1.79,0.58407,0.121
1637540,4.464,2.1,0.51122,0.143
1637541,5.084,2.28,0.51122,0.143
1637542,4.896,2.17,0.51122,0.143
1637543,4.721,2.07,0.44342,0.165
1637544,4.71,2.42,0.58407,0.121
1637545,4.231,2.31,0.58407,0.121
1637546,4.184,2.3,0.58407,0.121
1637547,4.267,2.3,0.58407,0.121
1637548,4.016,2.23,0.58407,0.121
1637549,3.61,2.12,0.58407,0.121
1637550,3.256,2,0.58407,0.121
1637551,2.433,1.59,0.74256,0.077
1637552,2.024,1.35,0.74256,0.077
1637553,1.698,1.19,0.91281,0.033
1637554,1.188,0.9,0.91281,0.033
1637555,1.018,0.8,1,0.011
1637556,0.972,0.77,1,0.011
1637557,1.148,0.88,1,0.011
1637558,1.244,0.94,1,0.011
1637559,1.213,0.92,1,0.011
1637560,1.11,0.87,1,0.011
1637566,2.117,1.73,0.74256,0.077
1637567,2.672,2.06,0.66142,0.099
1637571,2.257,1.97,0.66142,0.099
1637576,1.92,1.7,0.66142,0.099
1637577,2.318,1.97,0.66142,0.099
1637578,2.39,2.02,0.66142,0.099
1637579,2.78,2.26,0.66142,0.099
1637580,2.597,2.17,0.66142,0.099
1637584,1.69,1.36,0.66142,0.099
1637585,1.404,1.13,0.58407,0.121
1637586,1.652,1.29,0.51122,0.143
1637587,1.4,1.17,0.58407,0.121
1637594,2.927,2.03,0.51122,0.143
1637607,2.602,2.07,0.51122,0.143
1637608,2.076,1.73,0.51122,0.143
1637609,1.454,1.26,0.51122,0.143
1637610,1.439,1.26,0.51122,0.143
1637611,1.082,0.98,0.51122,0.143
1637612,1.254,1.11,0.51122,0.143
1637613,1.212,1.08,0.51122,0.143
1637614,1.16,1.06,0.58407,0.121
1637615,1.004,0.94,0.74256,0.077
1637616,0.892,0.87,0.74256,0.077
1637617,0.888,0.89,0.74256,0.077
1637618,0.926,0.94,0.82667,0.055
1639929,5.612,2.19,0.66142,0.099
1639930,6.284,2.38,0.58407,0.121
1639933,7.946,2.8,0.58407,0.121
1639934,8.72,3.44,0.51122,0.143
1639935,8.152,3.17,0.66142,0.099
1639936,7.752,3,0.66142,0.099
1639937,6.105,2.42,0.58407,0.121
1639938,5.907,2.29,0.51122,0.143
1639939,5.297,2.14,0.51122,0.143
1639940,4.92,2.08,0.51122,0.143
1639941,5.308,2.29,0.51122,0.143
1639942,5.372,2.34,0.51122,0.143
1639943,5.13,2.23,0.51122,0.143
1639944,5.016,2.13,0.44342,0.165
