"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1652048",-2.045,-0.7,0.91281,-0.033
"1654308",3.159,0.46,0.91281,0.033
"1654309",3.161,0.47,0.91281,0.033
"1654310",3.157,0.47,0.91281,0.033
"1654311",3.147,0.46,0.91281,0.033
"1654312",3.123,0.45,0.91281,0.033
"1654313",2.437,0.35,0.91281,0.033
"1654314",2.334,0.33,0.91281,0.033
"1654315",2.251,0.32,0.91281,0.033
"1654320",6.173,0.86,0.91281,0.033
"1654321",6.377,0.89,0.91281,0.033
"1654337",9.371,1.28,0.51122,0.143
"1654338",9.516,1.21,0.51122,0.143
"1654339",9.57,1.17,0.58407,0.121
"1654340",9.63,1.16,0.58407,0.121
"1654343",7.364,0.92,0.58407,0.121
"1654344",7.004,0.89,0.58407,0.121
"1654345",6.856,0.87,0.58407,0.121
"1654346",7.109,0.9,0.58407,0.121
"1654347",7.42,0.92,0.58407,0.121
"1654348",0.553,0.07,1,0.011
"1654349",0.511,0.07,1,0.011
"1654350",0.543,0.08,1,0.011
"1654351",0.438,0.06,1,0.011
