"nie_malla_modi_id","sen_slope_tempsu","sen_slope_per_tempsu","p_value_tempsu","tau_tempsu"
1673523,-0.002,-0.01,1,-0.011
1673524,0.001,0,1,0.011
1673525,0.002,0.01,0.91281,0.033
1673526,0.006,0.03,1,0.011
1673527,0.014,0.07,1,0.011
1673528,0.017,0.08,1,0.011
1673529,0.009,0.05,0.82667,0.055
1673530,0.018,0.09,0.91281,0.033
1673531,0.024,0.12,0.82667,0.055
1673532,0.026,0.13,0.78398,0.066
1673533,0.025,0.13,0.66142,0.099
1673534,0.025,0.13,0.58407,0.121
1673535,0.035,0.19,0.476,0.154
1673536,0.04,0.22,0.44342,0.165
1673537,0.042,0.23,0.54644,0.132
1673538,0.044,0.25,0.51122,0.143
1673539,0.04,0.23,0.58407,0.121
1673540,0.039,0.24,0.66142,0.099
1673541,0.04,0.25,0.51122,0.143
1673542,0.04,0.26,0.54644,0.132
1673543,0.041,0.26,0.51122,0.143
1673544,0.048,0.31,0.44342,0.165
1673545,0.053,0.32,0.44342,0.165
1673546,0.044,0.25,0.58407,0.121
1673547,0.042,0.24,0.58294,0.121
1673548,0.04,0.24,0.6217,0.11
1673549,0.038,0.23,0.6217,0.11
1673550,0.026,0.15,0.70113,0.088
1673551,0.04,0.22,0.66142,0.099
1673552,0.044,0.22,0.6217,0.11
1673553,0.045,0.23,0.66142,0.099
1673554,0.038,0.19,0.74256,0.077
1673555,0.031,0.16,0.82667,0.055
1673556,0.023,0.12,0.74256,0.077
1673557,0.02,0.12,0.74256,0.077
1673558,0.007,0.04,0.70113,0.088
1673559,-0.002,-0.01,1,-0.011
1673560,0,0,1,0
1673561,-0.01,-0.07,0.91281,-0.033
1673562,-0.007,-0.05,1,-0.011
1673563,0.008,0.06,1,0.011
1673564,0.002,0.01,1,0.011
1673565,-0.048,-0.37,0.74256,-0.077
1673566,-0.05,-0.37,0.74256,-0.077
1673567,-0.05,-0.35,0.74256,-0.077
1673568,-0.04,-0.27,0.74256,-0.077
1673569,-0.06,-0.45,0.78398,-0.066
1673570,-0.062,-0.47,0.82667,-0.055
1673571,-0.07,-0.51,0.74256,-0.077
1673572,-0.042,-0.28,0.74256,-0.077
1673573,-0.046,-0.31,0.74256,-0.077
1673574,-0.05,-0.34,0.74256,-0.077
1673575,-0.053,-0.35,0.74256,-0.077
1673576,-0.057,-0.36,0.74256,-0.077
1673577,-0.06,-0.36,0.74256,-0.077
1673578,-0.062,-0.37,0.82667,-0.055
1673579,-0.062,-0.36,0.82667,-0.055
1673580,-0.051,-0.3,0.70113,-0.088
1673581,-0.052,-0.3,0.66142,-0.099
1673582,-0.052,-0.31,0.78398,-0.066
1673583,-0.051,-0.31,0.74256,-0.077
1673584,-0.069,-0.42,0.74256,-0.077
1673585,-0.06,-0.36,0.74256,-0.077
1673586,-0.06,-0.35,0.74256,-0.077
1673587,-0.05,-0.29,0.66142,-0.099
1673588,-0.062,-0.35,0.66142,-0.099
1673589,-0.057,-0.32,0.66142,-0.099
1673590,-0.051,-0.28,0.66142,-0.099
1673591,-0.048,-0.26,0.74256,-0.077
1673592,-0.046,-0.25,0.74256,-0.077
